symbol,company_name,isin,series,exchange_primary,nse_symbol,tags,bse_symbol,bse_code,paired_nse_symbol,include_flag,yahoo_ticker_ns,yahoo_ticker_bo,priority
ALMONDZ,Almondz Global Securities Limited,INE326B01035,EQ,NSE,ALMONDZ,ALL_NSE,,,,YES,ALMONDZ.NS,,7
ALOKINDS,Alok Industries Limited,INE270A01029,EQ,NSE,ALOKINDS,ALL_NSE,,,,YES,ALOKINDS.NS,,7
ALPA,Alpa Laboratories Limited,INE385I01010,EQ,NSE,ALPA,ALL_NSE,,,,YES,ALPA.NS,,7
ALPHAGEO,Alphageo (India) Limited,INE137C01018,EQ,NSE,ALPHAGEO,ALL_NSE,,,,YES,ALPHAGEO.NS,,7
AMAGI,Amagi Media Labs Limited,INE121R01077,EQ,NSE,AMAGI,ALL_NSE,,,,YES,AMAGI.NS,,7
AMANTA,Amanta Healthcare Limited,INE084K01015,EQ,NSE,AMANTA,ALL_NSE,,,,YES,AMANTA.NS,,7
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,EQ,NSE,AMBICAAGAR,ALL_NSE,,,,YES,AMBICAAGAR.NS,,7
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,EQ,NSE,AMBIKCO,ALL_NSE,,,,YES,AMBIKCO.NS,,7
AMDIND,AMD Industries Limited,INE005I01014,EQ,NSE,AMDIND,ALL_NSE,,,,YES,AMDIND.NS,,7
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,EQ,NSE,AMIRCHAND,ALL_NSE,,,,YES,AMIRCHAND.NS,,7
AMJLAND,Amj Land Holdings Limited,INE606A01024,EQ,NSE,AMJLAND,ALL_NSE,,,,YES,AMJLAND.NS,,7
AMNPLST,Amines & Plasticizers Limited,INE275D01022,EQ,NSE,AMNPLST,ALL_NSE,,,,YES,AMNPLST.NS,,7
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,EQ,NSE,AMRUTANJAN,ALL_NSE,,,,YES,AMRUTANJAN.NS,,7
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,EQ,NSE,ANDHRAPAP,ALL_NSE,,,,YES,ANDHRAPAP.NS,,7
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,EQ,NSE,ANDHRSUGAR,ALL_NSE,,,,YES,ANDHRSUGAR.NS,,7
ANIKINDS,Anik Industries Limited,INE087B01017,BE,NSE,ANIKINDS,ALL_NSE,,,,YES,ANIKINDS.NS,,7
ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,BZ,NSE,ANKITMETAL,ALL_NSE,,,,YES,ANKITMETAL.NS,,7
ANMOL,Anmol India Limited,INE02AR01019,EQ,NSE,ANMOL,ALL_NSE,,,,YES,ANMOL.NS,,7
ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,BZ,NSE,ANSALAPI,ALL_NSE,,,,YES,ANSALAPI.NS,,7
ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,EQ,NSE,ANTELOPUS,ALL_NSE,,,,YES,ANTELOPUS.NS,,7
ANTGRAPHIC,Antarctica Limited,INE414B01021,EQ,NSE,ANTGRAPHIC,ALL_NSE,,,,YES,ANTGRAPHIC.NS,,7
ANUHPHR,Anuh Pharma Limited,INE489G01022,EQ,NSE,ANUHPHR,ALL_NSE,,,,YES,ANUHPHR.NS,,7
ANUP,The Anup Engineering Limited,INE294Z01018,EQ,NSE,ANUP,ALL_NSE,,,,YES,ANUP.NS,,7
APCL,Anjani Portland Cement Limited,INE071F01012,EQ,NSE,APCL,ALL_NSE,,,,YES,APCL.NS,,7
APCOTEXIND,Apcotex Industries Limited,INE116A01032,EQ,NSE,APCOTEXIND,ALL_NSE,,,,YES,APCOTEXIND.NS,,7
APEX,Apex Frozen Foods Limited,INE346W01013,EQ,NSE,APEX,ALL_NSE,,,,YES,APEX.NS,,7
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,EQ,NSE,APLLTD,ALL_NSE,,,,YES,APLLTD.NS,,7
APOLLO,Apollo Micro Systems Limited,INE713T01028,EQ,NSE,APOLLO,ALL_NSE,,,,YES,APOLLO.NS,,7
APOLLOPIPE,Apollo Pipes Limited,INE126J01016,EQ,NSE,APOLLOPIPE,ALL_NSE,,,,YES,APOLLOPIPE.NS,,7
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,EQ,NSE,APOLSINHOT,ALL_NSE,,,,YES,APOLSINHOT.NS,,7
APTECHT,Aptech Limited,INE266F01018,EQ,NSE,APTECHT,ALL_NSE,,,,YES,APTECHT.NS,,7
AQYLON,Aqylon Nexus Limited,INE416A01051,EQ,NSE,AQYLON,ALL_NSE,,,,YES,AQYLON.NS,,7
ARCHIDPLY,Archidply Industries Limited,INE877I01016,EQ,NSE,ARCHIDPLY,ALL_NSE,,,,YES,ARCHIDPLY.NS,,7
ARCHIES,Archies Limited,INE731A01020,EQ,NSE,ARCHIES,ALL_NSE,,,,YES,ARCHIES.NS,,7
ARENTERP,Rajdarshan Industries Limited,INE610C01014,EQ,NSE,ARENTERP,ALL_NSE,,,,YES,ARENTERP.NS,,7
ARFIN,Arfin India Limited,INE784R01023,EQ,NSE,ARFIN,ALL_NSE,,,,YES,ARFIN.NS,,7
ARIES,Aries Agro Limited,INE298I01015,EQ,NSE,ARIES,ALL_NSE,,,,YES,ARIES.NS,,7
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,EQ,NSE,ARIHANTCAP,ALL_NSE,,,,YES,ARIHANTCAP.NS,,7
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,EQ,NSE,ARIHANTSUP,ALL_NSE,,,,YES,ARIHANTSUP.NS,,7
ARIS,Arisinfra Solutions Limited,INE0H9P01028,EQ,NSE,ARIS,ALL_NSE,,,,YES,ARIS.NS,,7
ARKADE,Arkade Developers Limited,INE0QRL01017,EQ,NSE,ARKADE,ALL_NSE,,,,YES,ARKADE.NS,,7
ARMANFIN,Arman Financial Services Limited,INE109C01017,EQ,NSE,ARMANFIN,ALL_NSE,,,,YES,ARMANFIN.NS,,7
AROGRANITE,Aro Granite Industries Limited,INE210C01013,EQ,NSE,AROGRANITE,ALL_NSE,,,,YES,AROGRANITE.NS,,7
ARROWGREEN,Arrow Greentech Limited,INE570D01018,EQ,NSE,ARROWGREEN,ALL_NSE,,,,YES,ARROWGREEN.NS,,7
ARSHIYA,Arshiya Limited,INE968D01022,BZ,NSE,ARSHIYA,ALL_NSE,,,,YES,ARSHIYA.NS,,7
ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021,EQ,NSE,ARSSBL,ALL_NSE,,,,YES,ARSSBL.NS,,7
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,EQ,NSE,ARTEMISMED,ALL_NSE,,,,YES,ARTEMISMED.NS,,7
ARTNIRMAN,Art Nirman Limited,INE738V01013,BE,NSE,ARTNIRMAN,ALL_NSE,,,,YES,ARTNIRMAN.NS,,7
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,EQ,NSE,ARVEE,ALL_NSE,,,,YES,ARVEE.NS,,7
ARVIND,Arvind Limited,INE034A01011,EQ,NSE,ARVIND,ALL_NSE,,,,YES,ARVIND.NS,,7
ARVINDFASN,Arvind Fashions Limited,INE955V01021,EQ,NSE,ARVINDFASN,ALL_NSE,,,,YES,ARVINDFASN.NS,,7
ARVSMART,Arvind SmartSpaces Limited,INE034S01021,EQ,NSE,ARVSMART,ALL_NSE,,,,YES,ARVSMART.NS,,7
ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,EQ,NSE,ASAHISONG,ALL_NSE,,,,YES,ASAHISONG.NS,,7
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,EQ,NSE,ASAL,ALL_NSE,,,,YES,ASAL.NS,,7
ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,EQ,NSE,ASALCBR,ALL_NSE,,,,YES,ASALCBR.NS,,7
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,EQ,NSE,ASHAPURMIN,ALL_NSE,,,,YES,ASHAPURMIN.NS,,7
ASHIANA,Ashiana Housing Limited,INE365D01021,EQ,NSE,ASHIANA,ALL_NSE,,,,YES,ASHIANA.NS,,7
ASHIMASYN,Ashima Limited,INE440A01010,EQ,NSE,ASHIMASYN,ALL_NSE,,,,YES,ASHIMASYN.NS,,7
ASHOKA,Ashoka Buildcon Limited,INE442H01029,EQ,NSE,ASHOKA,ALL_NSE,,,,YES,ASHOKA.NS,,7
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,EQ,NSE,ASHOKAMET,ALL_NSE,,,,YES,ASHOKAMET.NS,,7
ASIANENE,Asian Energy Services Limited,INE276G01015,EQ,NSE,ASIANENE,ALL_NSE,,,,YES,ASIANENE.NS,,7
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,EQ,NSE,ASIANHOTNR,ALL_NSE,,,,YES,ASIANHOTNR.NS,,7
ASIANTILES,Asian Granito India Limited,INE022I01019,EQ,NSE,ASIANTILES,ALL_NSE,,,,YES,ASIANTILES.NS,,7
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,EQ,NSE,ASKAUTOLTD,ALL_NSE,,,,YES,ASKAUTOLTD.NS,,7
ASMS,Bartronics India Limited,INE855F01042,EQ,NSE,ASMS,ALL_NSE,,,,YES,ASMS.NS,,7
ASPINWALL,Aspinwall and Company Limited,INE991I01015,EQ,NSE,ASPINWALL,ALL_NSE,,,,YES,ASPINWALL.NS,,7
ASTEC,Astec LifeSciences Limited,INE563J01010,EQ,NSE,ASTEC,ALL_NSE,,,,YES,ASTEC.NS,,7
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,EQ,NSE,ASTRAMICRO,ALL_NSE,,,,YES,ASTRAMICRO.NS,,7
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,EQ,NSE,ASTRAZEN,ALL_NSE,,,,YES,ASTRAZEN.NS,,7
ASTRON,Astron Paper & Board Mill Limited,INE646X01014,BE,NSE,ASTRON,ALL_NSE,,,,YES,ASTRON.NS,,7
ATALREAL,Atal Realtech Limited,INE0ALR01029,EQ,NSE,ATALREAL,ALL_NSE,,,,YES,ATALREAL.NS,,7
ATAM,Atam Valves Limited,INE09KD01013,EQ,NSE,ATAM,ALL_NSE,,,,YES,ATAM.NS,,7
ATL,Allcargo Terminals Limited,INE0NN701020,EQ,NSE,ATL,ALL_NSE,,,,YES,ATL.NS,,7
ATLANTAA,ATLANTAA LIMITED,INE285H01022,EQ,NSE,ATLANTAA,ALL_NSE,,,,YES,ATLANTAA.NS,,7
ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,EQ,NSE,ATLANTAELE,ALL_NSE,,,,YES,ATLANTAELE.NS,,7
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,EQ,NSE,ATLASCYCLE,ALL_NSE,,,,YES,ATLASCYCLE.NS,,7
ATULAUTO,Atul Auto Limited,INE951D01028,EQ,NSE,ATULAUTO,ALL_NSE,,,,YES,ATULAUTO.NS,,7
AURIGROW,Auri Grow India Limited,INE925Y01036,EQ,NSE,AURIGROW,ALL_NSE,,,,YES,AURIGROW.NS,,7
AURIONPRO,Aurionpro Solutions Limited,INE132H01018,EQ,NSE,AURIONPRO,ALL_NSE,,,,YES,AURIONPRO.NS,,7
AURUM,Aurum PropTech Limited,INE898S01029,EQ,NSE,AURUM,ALL_NSE,,,,YES,AURUM.NS,,7
AUSOMENT,Ausom Enterprise Limited,INE218C01016,BE,NSE,AUSOMENT,ALL_NSE,,,,YES,AUSOMENT.NS,,7
AUTOAXLES,Automotive Axles Limited,INE449A01011,EQ,NSE,AUTOAXLES,ALL_NSE,,,,YES,AUTOAXLES.NS,,7
AUTOIND,Autoline Industries Limited,INE718H01014,EQ,NSE,AUTOIND,ALL_NSE,,,,YES,AUTOIND.NS,,7
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,EQ,NSE,AVADHSUGAR,ALL_NSE,,,,YES,AVADHSUGAR.NS,,7
AVALON,Avalon Technologies Limited,INE0LCL01028,EQ,NSE,AVALON,ALL_NSE,,,,YES,AVALON.NS,,7
AVANTEL,Avantel Limited,INE005B01027,EQ,NSE,AVANTEL,ALL_NSE,,,,YES,AVANTEL.NS,,7
AVANTIFEED,Avanti Feeds Limited,INE871C01038,EQ,NSE,AVANTIFEED,ALL_NSE,,,,YES,AVANTIFEED.NS,,7
AVG,AVG Logistics Limited,INE680Z01018,EQ,NSE,AVG,ALL_NSE,,,,YES,AVG.NS,,7
AVL,Aditya Vision Limited,INE679V01027,EQ,NSE,AVL,ALL_NSE,,,,YES,AVL.NS,,7
AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,EQ,NSE,AVONMORE,ALL_NSE,,,,YES,AVONMORE.NS,,7
AVROIND,AVRO INDIA LIMITED,INE652Z01017,EQ,NSE,AVROIND,ALL_NSE,,,,YES,AVROIND.NS,,7
AVTNPL,AVT Natural Products Limited,INE488D01021,EQ,NSE,AVTNPL,ALL_NSE,,,,YES,AVTNPL.NS,,7
AWFIS,Awfis Space Solutions Limited,INE108V01019,EQ,NSE,AWFIS,ALL_NSE,,,,YES,AWFIS.NS,,7
AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,EQ,NSE,AWHCL,ALL_NSE,,,,YES,AWHCL.NS,,7
AXISCADES,AXISCADES Technologies Limited,INE555B01013,EQ,NSE,AXISCADES,ALL_NSE,,,,YES,AXISCADES.NS,,7
AXITA,Axita Cotton Limited,INE02EZ01022,EQ,NSE,AXITA,ALL_NSE,,,,YES,AXITA.NS,,7
AYE,Aye Finance Limited,INE501X01029,EQ,NSE,AYE,ALL_NSE,,,,YES,AYE.NS,,7
AYMSYNTEX,AYM Syntex Limited,INE193B01039,EQ,NSE,AYMSYNTEX,ALL_NSE,,,,YES,AYMSYNTEX.NS,,7
AZAD,Azad Engineering Limited,INE02IJ01035,EQ,NSE,AZAD,ALL_NSE,,,,YES,AZAD.NS,,7
BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022,BE,NSE,BAFNAPH,ALL_NSE,,,,YES,BAFNAPH.NS,,7
BAGFILMS,B.A.G Films and Media Limited,INE116D01028,EQ,NSE,BAGFILMS,ALL_NSE,,,,YES,BAGFILMS.NS,,7
BAIDFIN,Baid Finserv Limited,INE020D01022,EQ,NSE,BAIDFIN,ALL_NSE,,,,YES,BAIDFIN.NS,,7
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,EQ,NSE,BAJAJCON,ALL_NSE,,,,YES,BAJAJCON.NS,,7
BAJAJELEC,Bajaj Electricals Limited,INE193E01025,EQ,NSE,BAJAJELEC,ALL_NSE,,,,YES,BAJAJELEC.NS,,7
BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,EQ,NSE,BAJAJHCARE,ALL_NSE,,,,YES,BAJAJHCARE.NS,,7
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,EQ,NSE,BAJAJHIND,ALL_NSE,,,,YES,BAJAJHIND.NS,,7
BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,EQ,NSE,BAJAJINDEF,ALL_NSE,,,,YES,BAJAJINDEF.NS,,7
BAJEL,Bajel Projects Limited,INE0KQN01018,EQ,NSE,BAJEL,ALL_NSE,,,,YES,BAJEL.NS,,7
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,EQ,NSE,BALAJEE,ALL_NSE,,,,YES,BALAJEE.NS,,7
BALAJITELE,Balaji Telefilms Limited,INE794B01026,EQ,NSE,BALAJITELE,ALL_NSE,,,,YES,BALAJITELE.NS,,7
BALAMINES,Balaji Amines Limited,INE050E01027,EQ,NSE,BALAMINES,ALL_NSE,,,,YES,BALAMINES.NS,,7
BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022,EQ,NSE,BALAXI,ALL_NSE,,,,YES,BALAXI.NS,,7
BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011,EQ,NSE,BALKRISHNA,ALL_NSE,,,,YES,BALKRISHNA.NS,,7
BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016,EQ,NSE,BALMLAWRIE,ALL_NSE,,,,YES,BALMLAWRIE.NS,,7
BALPHARMA,Bal Pharma Limited,INE083D01012,EQ,NSE,BALPHARMA,ALL_NSE,,,,YES,BALPHARMA.NS,,7
BALUFORGE,Balu Forge Industries Limited,INE011E01029,EQ,NSE,BALUFORGE,ALL_NSE,,,,YES,BALUFORGE.NS,,7
BANARBEADS,Banaras Beads Limited,INE655B01011,EQ,NSE,BANARBEADS,ALL_NSE,,,,YES,BANARBEADS.NS,,7
BANARISUG,Bannari Amman Sugars Limited,INE459A01010,EQ,NSE,BANARISUG,ALL_NSE,,,,YES,BANARISUG.NS,,7
BANCOINDIA,Banco Products (I) Limited,INE213C01025,EQ,NSE,BANCOINDIA,ALL_NSE,,,,YES,BANCOINDIA.NS,,7
BANG,Bang Overseas Limited,INE863I01016,EQ,NSE,BANG,ALL_NSE,,,,YES,BANG.NS,,7
BANKA,Banka BioLoo Limited,INE862Y01015,BE,NSE,BANKA,ALL_NSE,,,,YES,BANKA.NS,,7
BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025,EQ,NSE,BANSALWIRE,ALL_NSE,,,,YES,BANSALWIRE.NS,,7
BANSWRAS,Banswara Syntex Limited,INE629D01020,EQ,NSE,BANSWRAS,ALL_NSE,,,,YES,BANSWRAS.NS,,7
BASF,BASF India Limited,INE373A01013,EQ,NSE,BASF,ALL_NSE,,,,YES,BASF.NS,,7
BASML,Bannari Amman Spinning Mills Limited,INE186H01022,EQ,NSE,BASML,ALL_NSE,,,,YES,BASML.NS,,7
BBL,Bharat Bijlee Limited,INE464A01036,EQ,NSE,BBL,ALL_NSE,,,,YES,BBL.NS,,7
BBOX,Black Box Limited,INE676A01027,EQ,NSE,BBOX,ALL_NSE,,,,YES,BBOX.NS,,7
BBTCL,B&B Triplewall Containers Limited,INE01EE01011,EQ,NSE,BBTCL,ALL_NSE,,,,YES,BBTCL.NS,,7
BCG,Brightcom Group Limited,INE425B01027,BE,NSE,BCG,ALL_NSE,,,,YES,BCG.NS,,7
BCLIND,Bcl Industries Limited,INE412G01024,EQ,NSE,BCLIND,ALL_NSE,,,,YES,BCLIND.NS,,7
BCONCEPTS,Brand Concepts Limited,INE977Y01011,EQ,NSE,BCONCEPTS,ALL_NSE,,,,YES,BCONCEPTS.NS,,7
BCPL,BCPL Railway Infrastructure Limited,INE00SW01015,EQ,NSE,BCPL,ALL_NSE,,,,YES,BCPL.NS,,7
BEARDSELL,Beardsell Limited,INE520H01022,EQ,NSE,BEARDSELL,ALL_NSE,,,,YES,BEARDSELL.NS,,7
BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01020,EQ,NSE,BECTORFOOD,ALL_NSE,,,,YES,BECTORFOOD.NS,,7
BEDMUTHA,Bedmutha Industries Limited,INE844K01012,BE,NSE,BEDMUTHA,ALL_NSE,,,,YES,BEDMUTHA.NS,,7
BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014,EQ,NSE,BELLACASA,ALL_NSE,,,,YES,BELLACASA.NS,,7
BEPL,Bhansali Engineering Polymers Limited,INE922A01025,EQ,NSE,BEPL,ALL_NSE,,,,YES,BEPL.NS,,7
BESTAGRO,Best Agrolife Limited,INE052T01021,BE,NSE,BESTAGRO,ALL_NSE,,,,YES,BESTAGRO.NS,,7
BETA,Beta Drugs Limited,INE351Y01019,EQ,NSE,BETA,ALL_NSE,,,,YES,BETA.NS,,7
BFINVEST,BF Investment Limited,INE878K01010,EQ,NSE,BFINVEST,ALL_NSE,,,,YES,BFINVEST.NS,,7
BFUTILITIE,BF Utilities Limited,INE243D01012,BZ,NSE,BFUTILITIE,ALL_NSE,,,,YES,BFUTILITIE.NS,,7
BGLOBAL,Bharatiya Global Infomedia Limited,INE224M01013,BZ,NSE,BGLOBAL,ALL_NSE,,,,YES,BGLOBAL.NS,,7
BGRENERGY,BGR Energy Systems Limited,INE661I01014,BE,NSE,BGRENERGY,ALL_NSE,,,,YES,BGRENERGY.NS,,7
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027,EQ,NSE,BHAGCHEM,ALL_NSE,,,,YES,BHAGCHEM.NS,,7
BHAGERIA,Bhageria Industries Limited,INE354C01027,EQ,NSE,BHAGERIA,ALL_NSE,,,,YES,BHAGERIA.NS,,7
BHAGYANGR,Bhagyanagar India Limited,INE458B01036,EQ,NSE,BHAGYANGR,ALL_NSE,,,,YES,BHAGYANGR.NS,,7
BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029,EQ,NSE,BHANDARI,ALL_NSE,,,,YES,BHANDARI.NS,,7
BHARATCOAL,Bharat Coking Coal Limited,INE05XR01022,EQ,NSE,BHARATCOAL,ALL_NSE,,,,YES,BHARATCOAL.NS,,7
BHARATGEAR,Bharat Gears Limited,INE561C01019,EQ,NSE,BHARATGEAR,ALL_NSE,,,,YES,BHARATGEAR.NS,,7
BHARATRAS,Bharat Rasayan Limited,INE838B01021,EQ,NSE,BHARATRAS,ALL_NSE,,,,YES,BHARATRAS.NS,,7
BHARATSE,Bharat Seats Limited,INE415D01024,EQ,NSE,BHARATSE,ALL_NSE,,,,YES,BHARATSE.NS,,7
BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,EQ,NSE,BHARATWIRE,ALL_NSE,,,,YES,BHARATWIRE.NS,,7
BIGBLOC,Bigbloc Construction Limited,INE412U01025,EQ,NSE,BIGBLOC,ALL_NSE,,,,YES,BIGBLOC.NS,,7
BIL,Bhartiya International Limited,INE828A01016,EQ,NSE,BIL,ALL_NSE,,,,YES,BIL.NS,,7
BILVYAPAR,BIL VYAPAR LIMITED,INE071A01013,BE,NSE,BILVYAPAR,ALL_NSE,,,,YES,BILVYAPAR.NS,,7
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,EQ,NSE,BIOFILCHEM,ALL_NSE,,,,YES,BIOFILCHEM.NS,,7
BIRLACABLE,Birla Cable Limited,INE800A01015,EQ,NSE,BIRLACABLE,ALL_NSE,,,,YES,BIRLACABLE.NS,,7
BIRLACORPN,Birla Corporation Limited,INE340A01012,EQ,NSE,BIRLACORPN,ALL_NSE,,,,YES,BIRLACORPN.NS,,7
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,EQ,NSE,BIRLAMONEY,ALL_NSE,,,,YES,BIRLAMONEY.NS,,7
BIRLANU,BirlaNu Limited,INE557A01011,EQ,NSE,BIRLANU,ALL_NSE,,,,YES,BIRLANU.NS,,7
BLACKBUCK,BLACKBUCK LIMITED,INE0UIZ01018,EQ,NSE,BLACKBUCK,ALL_NSE,,,,YES,BLACKBUCK.NS,,7
BLAL,BEML Land Assets Limited,INE0N7W01012,EQ,NSE,BLAL,ALL_NSE,,,,YES,BLAL.NS,,7
BLBLIMITED,BLB Limited,INE791A01024,BE,NSE,BLBLIMITED,ALL_NSE,,,,YES,BLBLIMITED.NS,,7
BLISSGVS,Bliss GVS Pharma Limited,INE416D01022,EQ,NSE,BLISSGVS,ALL_NSE,,,,YES,BLISSGVS.NS,,7
BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032,EQ,NSE,BLKASHYAP,ALL_NSE,,,,YES,BLKASHYAP.NS,,7
BLSE,BLS E-Services Limited,INE0NLT01010,EQ,NSE,BLSE,ALL_NSE,,,,YES,BLSE.NS,,7
BLUECHIP,Blue Chip India Limited,INE657B01025,BE,NSE,BLUECHIP,ALL_NSE,,,,YES,BLUECHIP.NS,,7
BLUECOAST,Blue Coast Hotels Limited,INE472B01011,EQ,NSE,BLUECOAST,ALL_NSE,,,,YES,BLUECOAST.NS,,7
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038,EQ,NSE,BLUESTONE,ALL_NSE,,,,YES,BLUESTONE.NS,,7
BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,EQ,NSE,BLUSPRING,ALL_NSE,,,,YES,BLUSPRING.NS,,7
BMWVENTLTD,BMW Ventures Limited,INE965W01036,EQ,NSE,BMWVENTLTD,ALL_NSE,,,,YES,BMWVENTLTD.NS,,7
BODALCHEM,Bodal Chemicals Limited,INE338D01028,EQ,NSE,BODALCHEM,ALL_NSE,,,,YES,BODALCHEM.NS,,7
BOHRAIND,Bohra Industries Limited,INE802W01023,BE,NSE,BOHRAIND,ALL_NSE,,,,YES,BOHRAIND.NS,,7
BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023,EQ,NSE,BOMDYEING,ALL_NSE,,,,YES,BOMDYEING.NS,,7
BONLON,Bonlon Industries Limited,INE0B9A01018,EQ,NSE,BONLON,ALL_NSE,,,,YES,BONLON.NS,,7
BORANA,Borana Weaves Limited,INE16SF01016,BE,NSE,BORANA,ALL_NSE,,,,YES,BORANA.NS,,7
BOROLTD,Borosil Limited,INE02PY01013,EQ,NSE,BOROLTD,ALL_NSE,,,,YES,BOROLTD.NS,,7
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,EQ,NSE,BORORENEW,ALL_NSE,,,,YES,BORORENEW.NS,,7
BOROSCI,Borosil Scientific Limited,INE02L001032,EQ,NSE,BOROSCI,ALL_NSE,,,,YES,BOROSCI.NS,,7
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,INE782A01015,EQ,NSE,BOSCH-HCIL,ALL_NSE,,,,YES,BOSCH-HCIL.NS,,7
BPL,BPL Limited,INE110A01019,EQ,NSE,BPL,ALL_NSE,,,,YES,BPL.NS,,7
BRIGHOTEL,Brigade Hotel Ventures Limited,INE03NU01014,EQ,NSE,BRIGHOTEL,ALL_NSE,,,,YES,BRIGHOTEL.NS,,7
BRNL,Bharat Road Network Limited,INE727S01012,EQ,NSE,BRNL,ALL_NSE,,,,YES,BRNL.NS,,7
BROOKS,Brooks Laboratories Limited,INE650L01011,BE,NSE,BROOKS,ALL_NSE,,,,YES,BROOKS.NS,,7
BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020,EQ,NSE,BSHSL,ALL_NSE,,,,YES,BSHSL.NS,,7
BSL,BSL Limited,INE594B01012,EQ,NSE,BSL,ALL_NSE,,,,YES,BSL.NS,,7
BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023,EQ,NSE,BTML,ALL_NSE,,,,YES,BTML.NS,,7
BUILDPRO,Shankara Buildpro Limited,INE24OJ01011,EQ,NSE,BUILDPRO,ALL_NSE,,,,YES,BUILDPRO.NS,,7
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017,EQ,NSE,BUTTERFLY,ALL_NSE,,,,YES,BUTTERFLY.NS,,7
BVCL,Barak Valley Cements Limited,INE139I01011,EQ,NSE,BVCL,ALL_NSE,,,,YES,BVCL.NS,,7
BYKE,The Byke Hospitality Ltd,INE319B01014,BE,NSE,BYKE,ALL_NSE,,,,YES,BYKE.NS,,7
CALSOFT,California Software Company Limited,INE526B01014,EQ,NSE,CALSOFT,ALL_NSE,,,,YES,CALSOFT.NS,,7
CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032,EQ,NSE,CAMLINFINE,ALL_NSE,,,,YES,CAMLINFINE.NS,,7
CAMPUS,Campus Activewear Limited,INE278Y01022,EQ,NSE,CAMPUS,ALL_NSE,,,,YES,CAMPUS.NS,,7
CANTABIL,Cantabil Retail India Limited,INE068L01024,EQ,NSE,CANTABIL,ALL_NSE,,,,YES,CANTABIL.NS,,7
CAPACITE,Capacit'e Infraprojects Limited,INE264T01014,EQ,NSE,CAPACITE,ALL_NSE,,,,YES,CAPACITE.NS,,7
