symbol,company_name,isin,series,exchange_primary,nse_symbol,tags,bse_symbol,bse_code,paired_nse_symbol,include_flag,yahoo_ticker_ns,yahoo_ticker_bo,priority
ASAHIINDIA,Asahi India Glass Ltd.,INE439A01020,EQ,NSE,ASAHIINDIA,NIFTY500,,,,YES,ASAHIINDIA.NS,,1
ASHOKLEY,Ashok Leyland Ltd.,INE208A01029,EQ,NSE,ASHOKLEY,NIFTY500,,,,YES,ASHOKLEY.NS,,1
ASIANPAINT,Asian Paints Ltd.,INE021A01026,EQ,NSE,ASIANPAINT,"NIFTY50, NIFTY500, SENSEX",,,,YES,ASIANPAINT.NS,,1
ASTERDM,Aster DM Healthcare Ltd.,INE914M01019,EQ,NSE,ASTERDM,NIFTY500,,,,YES,ASTERDM.NS,,1
ASTRAL,Astral Ltd.,INE006I01046,EQ,NSE,ASTRAL,NIFTY500,,,,YES,ASTRAL.NS,,1
ATGL,Adani Total Gas Ltd.,INE399L01023,EQ,NSE,ATGL,NIFTY500,,,,YES,ATGL.NS,,1
ATHERENERG,Ather Energy Ltd.,INE0LEZ01016,EQ,NSE,ATHERENERG,NIFTY500,,,,YES,ATHERENERG.NS,,1
ATUL,Atul Ltd.,INE100A01010,EQ,NSE,ATUL,NIFTY500,,,,YES,ATUL.NS,,1
AUBANK,AU Small Finance Bank Ltd.,INE949L01017,EQ,NSE,AUBANK,"NIFTY500, NIFTYBANK",,,,YES,AUBANK.NS,,1
AUROPHARMA,Aurobindo Pharma Ltd.,INE406A01037,EQ,NSE,AUROPHARMA,NIFTY500,,,,YES,AUROPHARMA.NS,,1
AWL,AWL Agri Business Ltd.,INE699H01024,EQ,NSE,AWL,NIFTY500,,,,YES,AWL.NS,,1
AXISBANK,Axis Bank Ltd.,INE238A01034,EQ,NSE,AXISBANK,"NIFTY50, NIFTY500, NIFTYBANK, SENSEX",,,,YES,AXISBANK.NS,,1
BAJAJ-AUTO,Bajaj Auto Ltd.,INE917I01010,EQ,NSE,BAJAJ-AUTO,"NIFTY50, NIFTY500",,,,YES,BAJAJ-AUTO.NS,,1
BAJAJFINSV,Bajaj Finserv Ltd.,INE918I01026,EQ,NSE,BAJAJFINSV,"NIFTY50, NIFTY500, SENSEX",,,,YES,BAJAJFINSV.NS,,1
BAJAJHFL,Bajaj Housing Finance Ltd.,INE377Y01014,EQ,NSE,BAJAJHFL,NIFTY500,,,,YES,BAJAJHFL.NS,,1
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,INE118A01012,EQ,NSE,BAJAJHLDNG,NIFTY500,,,,YES,BAJAJHLDNG.NS,,1
BAJFINANCE,Bajaj Finance Ltd.,INE296A01032,EQ,NSE,BAJFINANCE,"NIFTY50, NIFTY500, SENSEX",,,,YES,BAJFINANCE.NS,,1
BALKRISIND,Balkrishna Industries Ltd.,INE787D01026,EQ,NSE,BALKRISIND,NIFTY500,,,,YES,BALKRISIND.NS,,1
BALRAMCHIN,Balrampur Chini Mills Ltd.,INE119A01028,EQ,NSE,BALRAMCHIN,NIFTY500,,,,YES,BALRAMCHIN.NS,,1
BANDHANBNK,Bandhan Bank Ltd.,INE545U01014,EQ,NSE,BANDHANBNK,NIFTY500,,,,YES,BANDHANBNK.NS,,1
BANKBARODA,Bank of Baroda,INE028A01039,EQ,NSE,BANKBARODA,"NIFTY500, NIFTYBANK, PSU",,,,YES,BANKBARODA.NS,,1
BANKINDIA,Bank of India,INE084A01016,EQ,NSE,BANKINDIA,"NIFTY500, PSU",,,,YES,BANKINDIA.NS,,1
BATAINDIA,Bata India Ltd.,INE176A01028,EQ,NSE,BATAINDIA,NIFTY500,,,,YES,BATAINDIA.NS,,1
BAYERCROP,Bayer Cropscience Ltd.,INE462A01022,EQ,NSE,BAYERCROP,NIFTY500,,,,YES,BAYERCROP.NS,,1
BBTC,Bombay Burmah Trading Corporation Ltd.,INE050A01025,EQ,NSE,BBTC,NIFTY500,,,,YES,BBTC.NS,,1
BDL,Bharat Dynamics Ltd.,INE171Z01026,EQ,NSE,BDL,NIFTY500,,,,YES,BDL.NS,,1
BEL,Bharat Electronics Ltd.,INE263A01024,EQ,NSE,BEL,"NIFTY50, NIFTY500, PSU",,,,YES,BEL.NS,,1
BELRISE,Belrise Industries Ltd.,INE894V01022,EQ,NSE,BELRISE,NIFTY500,,,,YES,BELRISE.NS,,1
BEML,BEML Ltd.,INE258A01024,EQ,NSE,BEML,"NIFTY500, PSU",,,,YES,BEML.NS,,1
BERGEPAINT,Berger Paints India Ltd.,INE463A01038,EQ,NSE,BERGEPAINT,NIFTY500,,,,YES,BERGEPAINT.NS,,1
BHARATFORG,Bharat Forge Ltd.,INE465A01025,EQ,NSE,BHARATFORG,NIFTY500,,,,YES,BHARATFORG.NS,,1
BHARTIARTL,Bharti Airtel Ltd.,INE397D01024,EQ,NSE,BHARTIARTL,"NIFTY50, NIFTY500, SENSEX",,,,YES,BHARTIARTL.NS,,1
BHARTIHEXA,Bharti Hexacom Ltd.,INE343G01021,EQ,NSE,BHARTIHEXA,NIFTY500,,,,YES,BHARTIHEXA.NS,,1
BHEL,Bharat Heavy Electricals Ltd.,INE257A01026,EQ,NSE,BHEL,"NIFTY500, PSU",,,,YES,BHEL.NS,,1
BIKAJI,Bikaji Foods International Ltd.,INE00E101023,EQ,NSE,BIKAJI,NIFTY500,,,,YES,BIKAJI.NS,,1
BIOCON,Biocon Ltd.,INE376G01013,EQ,NSE,BIOCON,NIFTY500,,,,YES,BIOCON.NS,,1
BLS,BLS International Services Ltd.,INE153T01027,EQ,NSE,BLS,NIFTY500,,,,YES,BLS.NS,,1
BLUEDART,Blue Dart Express Ltd.,INE233B01017,EQ,NSE,BLUEDART,NIFTY500,,,,YES,BLUEDART.NS,,1
BLUEJET,Blue Jet Healthcare Ltd.,INE0KBH01020,EQ,NSE,BLUEJET,NIFTY500,,,,YES,BLUEJET.NS,,1
BLUESTARCO,Blue Star Ltd.,INE472A01039,EQ,NSE,BLUESTARCO,NIFTY500,,,,YES,BLUESTARCO.NS,,1
BOSCHLTD,Bosch Ltd.,INE323A01026,EQ,NSE,BOSCHLTD,NIFTY500,,,,YES,BOSCHLTD.NS,,1
BPCL,Bharat Petroleum Corporation Ltd.,INE029A01011,EQ,NSE,BPCL,"NIFTY500, PSU",,,,YES,BPCL.NS,,1
